X-Axis	NPA w/ oil 20x (CRR) (SG) (Sub BG)
 1.81238E+03	 4.51221E+00
 1.81560E+03	 1.87085E+01
 1.81882E+03	 2.31646E+01
 1.82204E+03	 7.63428E+00
 1.82526E+03	-8.55469E+00
 1.82847E+03	-1.73232E+01
 1.83168E+03	-1.17837E+01
 1.83489E+03	 5.76953E+00
 1.83810E+03	 1.82251E+01
 1.84130E+03	 2.06172E+01
 1.84451E+03	 8.94922E+00
 1.84771E+03	-1.09375E+01
 1.85091E+03	-1.12021E+01
 1.85411E+03	-7.15967E+00
 1.85730E+03	-6.92383E-01
 1.86049E+03	 2.41211E+00
 1.86369E+03	 6.04541E+00
 1.86688E+03	 1.46431E+01
 1.87006E+03	 1.85156E+01
 1.87325E+03	 1.88628E+01
 1.87643E+03	 1.10605E+01
 1.87961E+03	-2.45410E+00
 1.88279E+03	 6.53320E-01
 1.88597E+03	 4.11230E+00
 1.88915E+03	-1.26221E+00
 1.89232E+03	-1.60107E+00
 1.89549E+03	 4.16357E+00
 1.89866E+03	 3.57568E+00
 1.90183E+03	-1.70996E+00
 1.90500E+03	-4.38037E+00
 1.90816E+03	-3.25928E+00
 1.91132E+03	-1.17285E+00
 1.91448E+03	 2.07520E-01
 1.91764E+03	 3.78809E+00
 1.92080E+03	 4.26172E+00
 1.92395E+03	-3.15430E-01
 1.92710E+03	-4.51904E+00
 1.93025E+03	-4.48193E+00
 1.93340E+03	 2.30518E+00
 1.93655E+03	 5.66309E+00
 1.93969E+03	 1.19150E+01
 1.94284E+03	 1.88164E+01
 1.94598E+03	 1.74932E+01
 1.94912E+03	 1.03823E+01
 1.95225E+03	 6.09082E+00
 1.95539E+03	 5.08789E-01
 1.95852E+03	-1.82959E+00
 1.96165E+03	-4.03760E+00
 1.96478E+03	-3.50293E+00
 1.96791E+03	-2.72412E+00
 1.97103E+03	 2.77002E+00
 1.97416E+03	 1.33047E+01
 1.97728E+03	 1.25020E+01
 1.98040E+03	 4.30322E+00
 1.98352E+03	-3.20850E+00
 1.98663E+03	-5.42090E+00
 1.98975E+03	-4.40576E+00
 1.99286E+03	 1.02002E+00
 1.99597E+03	 7.91309E+00
 1.99908E+03	 3.50586E+00
 2.00218E+03	-8.71729E+00
 2.00529E+03	-6.27734E+00
 2.00839E+03	 3.89990E+00
 2.01149E+03	 1.38594E+01
 2.01459E+03	 1.37583E+01
 2.01769E+03	 9.49951E+00
 2.02078E+03	 4.17334E+00
 2.02387E+03	-2.62646E+00
 2.02696E+03	-1.46533E+00
 2.03005E+03	-1.64014E+00
 2.03314E+03	-4.07178E+00
 2.03623E+03	-5.87256E+00
 2.03931E+03	 1.40576E+00
 2.04239E+03	 9.67041E+00
 2.04547E+03	 1.16641E+01
 2.04855E+03	 7.66406E+00
 2.05163E+03	 5.25635E+00
 2.05470E+03	-2.87988E+00
 2.05777E+03	-7.78906E+00
 2.06084E+03	-6.59229E+00
 2.06391E+03	-1.16699E+00
 2.06698E+03	-2.93311E+00
 2.07004E+03	-6.68457E-01
 2.07310E+03	 5.83350E+00
 2.07617E+03	 9.61572E+00
 2.07923E+03	 1.11523E+01
 2.08228E+03	 1.45234E+01
 2.08534E+03	 8.72559E+00
 2.08839E+03	 1.17334E+00
 2.09144E+03	-1.99951E+00
 2.09449E+03	-4.53809E+00
 2.09754E+03	-7.53467E+00
 2.10059E+03	-1.06226E+01
 2.10363E+03	-5.16748E+00
 2.10667E+03	 2.39697E+00
 2.10972E+03	 1.28413E+01
 2.11275E+03	 2.42295E+01
 2.11579E+03	 1.96885E+01
 2.11883E+03	 7.95166E+00
 2.12186E+03	-3.85645E+00
 2.12489E+03	-9.99561E+00
 2.12792E+03	-6.45166E+00
 2.13095E+03	 2.14844E-01
 2.13397E+03	 3.27490E+00
 2.13700E+03	 1.19287E+00
 2.14002E+03	-3.67725E+00
 2.14304E+03	 2.34912E+00
 2.14606E+03	 1.48936E+01
 2.14908E+03	 2.44351E+01
 2.15209E+03	 2.14634E+01
 2.15511E+03	 1.10498E+01
 2.15812E+03	 4.49609E+00
 2.16113E+03	 4.14844E+00
 2.16413E+03	 9.74561E+00
 2.16714E+03	 1.45703E+01
 2.17014E+03	 7.03662E+00
 2.17315E+03	-6.66650E+00
 2.17615E+03	-1.28101E+01
 2.17915E+03	-9.70313E+00
 2.18214E+03	-6.02051E-01
 2.18514E+03	 1.00288E+01
 2.18813E+03	 1.82983E+01
 2.19112E+03	 1.57573E+01
 2.19411E+03	 6.76465E+00
 2.19710E+03	-2.31445E-01
 2.20009E+03	-2.50195E+00
 2.20307E+03	-1.63818E+00
 2.20605E+03	 1.23877E+00
 2.20903E+03	 5.07227E+00
 2.21201E+03	 5.35400E+00
 2.21499E+03	 1.48535E+00
 2.21796E+03	-5.42578E+00
 2.22094E+03	-8.07617E+00
 2.22391E+03	-5.74463E+00
 2.22688E+03	-1.49707E+00
 2.22985E+03	 5.85596E+00
 2.23281E+03	 1.14331E+01
 2.23578E+03	 8.08008E+00
 2.23874E+03	 3.74658E+00
 2.24170E+03	-2.45850E+00
 2.24466E+03	-3.37451E+00
 2.24762E+03	-9.35059E-01
 2.25058E+03	 3.73047E-01
 2.25353E+03	 4.74463E+00
 2.25648E+03	 3.66748E+00
 2.25943E+03	-1.01563E-01
 2.26238E+03	-2.31787E+00
 2.26533E+03	-4.49365E+00
 2.26827E+03	-1.54395E+00
 2.27122E+03	-1.03516E+00
 2.27416E+03	-2.88428E+00
 2.27710E+03	-1.18311E+00
 2.28004E+03	 1.75781E-02
 2.28297E+03	 5.55127E+00
 2.28591E+03	 7.08398E+00
 2.28884E+03	 5.61963E+00
 2.29177E+03	 2.04932E+00
 2.29470E+03	 9.99512E-01
 2.29763E+03	-8.98438E-02
 2.30055E+03	-4.16016E-01
 2.30348E+03	-2.39893E+00
 2.30640E+03	-1.45996E+00
 2.30932E+03	-1.33936E+00
 2.31224E+03	 1.61621E-01
 2.31516E+03	 3.03906E+00
 2.31807E+03	 4.82227E+00
 2.32099E+03	 3.97217E+00
 2.32390E+03	 5.06543E+00
 2.32681E+03	 3.50537E+00
 2.32972E+03	 2.69287E+00
 2.33262E+03	-1.34961E+00
 2.33553E+03	-2.21777E+00
 2.33843E+03	-7.10449E-01
 2.34133E+03	-1.06201E+00
 2.34423E+03	-8.48633E-01
 2.34713E+03	 1.09521E+00
 2.35003E+03	 3.08984E+00
 2.35292E+03	 6.81543E+00
 2.35581E+03	 5.63770E+00
 2.35871E+03	 5.44629E+00
 2.36160E+03	 8.78906E-01
 2.36448E+03	-3.39258E+00
 2.36737E+03	-3.04932E+00
 2.37025E+03	-2.63428E+00
 2.37314E+03	-4.66797E-01
 2.37602E+03	 3.28174E+00
 2.37890E+03	 3.97803E+00
 2.38177E+03	 3.37939E+00
 2.38465E+03	 1.13867E+00
 2.38752E+03	 1.93848E-01
 2.39040E+03	-3.58398E-01
 2.39327E+03	-1.20313E+00
 2.39614E+03	-7.16797E-01
 2.39900E+03	-9.91699E-01
 2.40187E+03	 5.60059E-01
 2.40473E+03	 3.07764E+00
 2.40760E+03	 3.29932E+00
 2.41046E+03	 2.29102E+00
 2.41332E+03	 7.66602E-02
 2.41617E+03	-1.76172E+00
