X-Axis	bare NPA 10x (CRR) (SG) (Sub BG)
 1.59861E+03	 2.59033E+01
 1.60196E+03	 2.13501E+01
 1.60531E+03	 9.21484E+00
 1.60867E+03	-6.38574E+00
 1.61202E+03	-8.21680E+00
 1.61536E+03	-3.97510E+00
 1.61871E+03	-3.43848E+00
 1.62205E+03	 4.35254E+00
 1.62539E+03	 7.85107E+00
 1.62873E+03	 1.19922E+00
 1.63207E+03	 9.16504E-01
 1.63540E+03	 3.31543E+00
 1.63873E+03	 2.85156E-01
 1.64206E+03	-2.66162E+00
 1.64539E+03	-3.39746E+00
 1.64872E+03	-3.15771E+00
 1.65204E+03	-3.74756E+00
 1.65536E+03	 1.00098E-01
 1.65868E+03	-8.39844E-02
 1.66200E+03	-1.81641E-01
 1.66532E+03	 5.16113E-01
 1.66863E+03	 3.15869E+00
 1.67194E+03	 1.77783E+00
 1.67525E+03	 1.23779E+00
 1.67856E+03	 1.07031E+00
 1.68186E+03	 5.79688E+00
 1.68516E+03	 3.33252E+00
 1.68847E+03	-5.81543E-01
 1.69176E+03	-4.76514E+00
 1.69506E+03	-4.25684E+00
 1.69836E+03	-2.31934E-01
 1.70165E+03	 1.03369E+00
 1.70494E+03	-1.18555E+00
 1.70823E+03	-3.10596E+00
 1.71151E+03	 1.21045E+00
 1.71480E+03	 7.07813E+00
 1.71808E+03	 1.01299E+01
 1.72136E+03	 5.84863E+00
 1.72464E+03	-3.20117E+00
 1.72792E+03	-8.72754E+00
 1.73119E+03	-3.93896E+00
 1.73446E+03	 4.59033E+00
 1.73773E+03	 1.09536E+01
 1.74100E+03	 7.13965E+00
 1.74427E+03	 2.89844E+00
 1.74753E+03	-5.30273E+00
 1.75079E+03	-9.22070E+00
 1.75405E+03	-6.16406E+00
 1.75731E+03	-8.26172E-01
 1.76057E+03	 7.36426E+00
 1.76382E+03	 1.52915E+01
 1.76707E+03	 1.17036E+01
 1.77032E+03	 3.06689E+00
 1.77357E+03	-2.33008E+00
 1.77681E+03	 2.88086E-02
 1.78006E+03	 2.43359E+00
 1.78330E+03	 3.72656E+00
 1.78654E+03	 2.10059E+00
 1.78978E+03	 1.19336E+00
