X-Axis	NPA w/ oil 10x (CRR) (SG) (Sub BG)
 2.36737E+03	-3.76904E+00
 2.37025E+03	 2.73926E-01
 2.37314E+03	 9.01855E-01
 2.37602E+03	 3.19580E+00
 2.37890E+03	 2.03516E+00
 2.38177E+03	 2.09814E+00
 2.38465E+03	 1.39063E+00
 2.38752E+03	-2.41406E+00
 2.39040E+03	-2.53613E+00
 2.39327E+03	-2.70410E+00
 2.39614E+03	-3.09229E+00
 2.39900E+03	-6.53320E-01
 2.40187E+03	 1.56787E+00
 2.40473E+03	 2.07764E+00
 2.40760E+03	 3.76758E+00
 2.41046E+03	 5.25000E+00
 2.41332E+03	 3.54053E+00
 2.41617E+03	 5.91797E-01
