X-Axis	NPA w/ HMB-1 20x (CRR) (SG) (Sub BG)
 1.76057E+03	 8.02881E+00
 1.76382E+03	 8.34277E+00
 1.76707E+03	 1.21973E+00
 1.77032E+03	-7.91357E+00
 1.77357E+03	-3.91943E+00
 1.77681E+03	 4.26172E+00
 1.78006E+03	 5.31348E+00
 1.78330E+03	 4.54639E+00
 1.78654E+03	-4.11572E+00
 1.78978E+03	-8.19043E+00
 1.79301E+03	-1.02495E+01
 1.79625E+03	-6.01367E+00
 1.79948E+03	-6.22754E+00
 1.80271E+03	-4.72900E+00
 1.80593E+03	 3.70850E+00
 1.80916E+03	 1.08716E+01
 1.81238E+03	 1.36616E+01
 1.81560E+03	 2.18154E+01
 1.81882E+03	 2.13037E+01
 1.82204E+03	-2.66602E-01
 1.82526E+03	-1.52930E+01
 1.82847E+03	-1.84956E+01
 1.83168E+03	-1.28789E+01
 1.83489E+03	 5.27393E+00
 1.83810E+03	 2.99673E+01
 1.84130E+03	 4.17573E+01
 1.84451E+03	 2.95547E+01
 1.84771E+03	 1.11948E+01
 1.85091E+03	 1.48291E+00
 1.85411E+03	-3.03271E+00
 1.85730E+03	 2.22021E+00
 1.86049E+03	 1.87783E+01
 1.86369E+03	 3.45542E+01
 1.86688E+03	 3.54712E+01
 1.87006E+03	 3.14985E+01
 1.87325E+03	 1.73452E+01
 1.87643E+03	-2.09961E-02
 1.87961E+03	-8.70508E+00
 1.88279E+03	-6.03076E+00
 1.88597E+03	 2.06348E+00
 1.88915E+03	 2.61279E+00
 1.89232E+03	 5.28809E+00
 1.89549E+03	 1.21621E+01
 1.89866E+03	 6.27881E+00
 1.90183E+03	 2.98145E+00
 1.90500E+03	-1.26025E+00
 1.90816E+03	-2.50537E+00
 1.91132E+03	-5.30273E-01
 1.91448E+03	-4.24707E+00
 1.91764E+03	-4.31201E+00
 1.92080E+03	-4.26074E+00
 1.92395E+03	 1.56250E+00
 1.92710E+03	 8.91455E+00
 1.93025E+03	 1.11089E+01
 1.93340E+03	 1.52573E+01
 1.93655E+03	 1.34868E+01
 1.93969E+03	 8.66211E+00
 1.94284E+03	 5.83984E+00
 1.94598E+03	 8.74023E-02
 1.94912E+03	-3.69189E+00
 1.95225E+03	-4.53369E+00
 1.95539E+03	-8.56738E+00
 1.95852E+03	-6.87061E+00
 1.96165E+03	 2.89941E+00
 1.96478E+03	 6.77881E+00
 1.96791E+03	 4.63184E+00
 1.97103E+03	 3.12744E+00
 1.97416E+03	 7.66064E+00
 1.97728E+03	 4.66943E+00
 1.98040E+03	-6.35498E+00
 1.98352E+03	-7.55713E+00
 1.98663E+03	-2.11572E+00
 1.98975E+03	 4.66309E-01
 1.99286E+03	 9.49805E+00
 1.99597E+03	 1.23315E+01
 1.99908E+03	 9.35449E+00
 2.00218E+03	-3.47510E+00
 2.00529E+03	-6.11572E+00
 2.00839E+03	 1.76270E+00
 2.01149E+03	 9.54932E+00
 2.01459E+03	 9.64307E+00
 2.01769E+03	 6.51758E+00
 2.02078E+03	 4.33398E+00
 2.02387E+03	-3.82813E-01
 2.02696E+03	-7.12939E+00
 2.03005E+03	-8.76953E+00
 2.03314E+03	-6.75977E+00
 2.03623E+03	 1.76660E+00
 2.03931E+03	 1.03467E+01
 2.04239E+03	 1.68872E+01
 2.04547E+03	 1.42441E+01
 2.04855E+03	 5.65723E+00
 2.05163E+03	 3.83691E+00
 2.05470E+03	-1.91211E+00
 2.05777E+03	-6.91650E+00
 2.06084E+03	-7.42480E+00
 2.06391E+03	-2.17969E+00
 2.06698E+03	 1.11523E+00
 2.07004E+03	 3.80762E+00
 2.07310E+03	 1.04644E+01
 2.07617E+03	 9.07861E+00
 2.07923E+03	 4.87500E+00
 2.08228E+03	 2.79395E+00
 2.08534E+03	-2.42236E+00
 2.08839E+03	-8.83740E+00
